YEAR	JF_Reg1	JF_Reg2	JF_Reg3	JF_Reg4	JF_Reg5	JF_Reg6	JF_Reg7	JF_Reg8	AM_Reg1	AM_Reg2	AM_Reg3	AM_Reg4	AM_Reg5	AM_Reg6	AM_Reg7	AM_Reg8	AM_Reg9	JA_Reg1	JA_Reg2	JA_Reg3	JA_Reg4	JA_Reg5	JA_Reg6	JA_Reg7	ON_Reg1	ON_Reg2	ON_Reg3	ON_Reg4	ON_Reg5	ON_Reg6	ON_Reg7	ON_Reg8	ON_Reg9
1986	30.75	26.23809524	28.20588235	34.57142857	38.17777778	36.4	42.95652174	32.21052632	32.19230769	45.18181818	37.63157895	42.73333333	43.8125	40.64285714	40.1	42.45454545	41.4	48.61111111	45.11764706	43.39655172	50.75862069	46.29166667	48.22727273	52.69230769	38.11111111	31.875	36.28	34.47826087	41.38235294	57.84	45.94117647	45.76470588	51.53846154
1987	27.25	28.9047619	28.14705882	37.42857143	32.84444444	32.33333333	39.69565217	44.36842105	39.23076923	44.04545455	37.15789474	43.2	42.25	49.42857143	38.95	43.78787879	43.9	46.55555556	43.47058824	41.98275862	50.72413793	49.75	51.81818182	51.84615385	50.66666667	50.3125	41.96	38.91304348	43.41176471	52.76	42	46.41176471	41.23076923
1988	26.58333333	26.47619048	28.64705882	33.5	35.93333333	35.33333333	46.2173913	28.68421053	38.92307692	48.40909091	35.10526316	42.2	39.8125	36.85714286	42.7	42.21212121	42.5	46.11111111	40.64705882	50.96551724	49	52.41666667	50.13636364	53.23076923	46.66666667	35.8125	39.72	35.60869565	42.08823529	46.4	38.58823529	44.58823529	41.15384615
1989	27.83333333	29.04761905	29.47058824	32.85714286	47.15555556	42.13333333	46	43.05263158	38.92307692	33.04545455	34.63157895	42	51.625	43.92857143	43.9	48.93939394	45.7	41.11111111	42.58823529	47.79310345	60.5862069	47.33333333	51.86363636	59.84615385	34.11111111	32.625	34.36	34.13043478	47.73529412	45.28	44.64705882	46.29411765	39.61538462
1990	25.83333333	27.61904762	28.5	32.85714286	34.35555556	41.26666667	44.95652174	40.05263158	37	44.09090909	35.52631579	38.93333333	39.375	30.07142857	41.3	42	28.7	42.11111111	44.52941176	49.10344828	60.68965517	51.54166667	50.72727273	54.07692308	48	42.5	47.44	38.30434783	49	48.96	45.52941176	48.23529412	62.69230769
1991	26.25	26.28571429	28.70588235	31.64285714	34.91111111	38.66666667	45.26086957	29.10526316	38.34615385	40.04545455	37.52631579	42.83333333	42.25	39.78571429	43.85	38.15151515	32.6	43.55555556	44.23529412	44.55172414	54.06896552	51.33333333	49.22727273	55	35	60	41.76	35.17391304	43.47058824	48.36	44.23529412	50.76470588	51.07692308
1992	24.25	27.14285714	28.02941176	32.35714286	33.64444444	32.46666667	36.7826087	36.42105263	31	48.72727273	35.57894737	35.93333333	43.125	40.57142857	42.25	41.18181818	31.1	46.27777778	43.11764706	45.27586207	51.82758621	45.70833333	47.45454545	53.07692308	31.44444444	36.875	50.4	39.69565217	41.64705882	45.88	40.17647059	48.41176471	48.92307692
1993	25	29.28571429	30.79411765	32.85714286	29.44444444	35.6	46.73913043	46.94736842	30.76923077	37.40909091	35.52631579	39.03333333	40	43.5	40.3	32.66666667	28.7	43.61111111	42.11764706	47.10344828	54.48275862	47.95833333	49.45454545	53.07692308	38.77777778	39	46.76	40.2173913	44.23529412	50.24	41.23529412	48.23529412	49.15384615
1994	28.25	26.04761905	28.47058824	32.92857143	35.28888889	36.06666667	44.04347826	35	35.5	41.31818182	34.15789474	40.16666667	39.25	35.92857143	43.1	37.57575758	35.3	45	44.70588235	49.87931034	64.75862069	48.125	49.36363636	54.46153846	30.88888889	43.3125	53.12	36.13043478	47.35294118	42.16	41.70588235	43.94117647	49
1995	24.83333333	26.85714286	28.17647059	31.28571429	34.33333333	32.66666667	42.52173913	38	34.57692308	36.27272727	37.31578947	41.9	37.9375	32.78571429	39.5	39.15151515	41.5	42.05555556	44.58823529	42.79310345	50.17241379	50.33333333	48.81818182	60.23076923	48.44444444	33	47.16	35.56521739	40.67647059	46.6	39.70588235	51	63.23076923
1996	27.58333333	27.80952381	29.67647059	33.5	35.37777778	39.06666667	44.65217391	27.52631579	43.26923077	45	32.57894737	37.4	40.6875	41.64285714	42.9	31.90909091	28.8	47.38888889	47.11764706	50.17241379	61.13793103	47.75	49.68181818	46.46153846	27.33333333	34.125	36.68	38.13043478	42.73529412	47.76	39.41176471	45.11764706	51.46153846
1997	25.16666667	27.38095238	27.91176471	31.92857143	35.84444444	37.26666667	40.73913043	32.26315789	30.30769231	47.22727273	34.10526316	37.73333333	40.1875	35.07142857	36.9	42.18181818	43.5	41.11111111	45.64705882	45.82758621	62.68965517	48.70833333	49.40909091	47.69230769	36.77777778	38.125	35.4	32.65217391	41.64705882	41.92	42.05882353	39.76470588	54
1998	25.08333333	26.85714286	28.58823529	32.78571429	33.8	27.46666667	43.47826087	46.26315789	42.53846154	48.54545455	44.36842105	44.96666667	31.25	31.14285714	38.35	42.75757576	35.8	42.27777778	41.70588235	47.72413793	55.65517241	47.875	51.68181818	53.38461538	35.55555556	45.1875	52.16	37.17391304	43.29411765	40.4	40.23529412	45.29411765	51.23076923
1999	28.5	28.52380952	28.94117647	33.78571429	40	37.33333333	48.39130435	36.63157895	36.30769231	50.68181818	34.36842105	41.23333333	43.875	36.21428571	51.2	39.15151515	33.1	46.38888889	47.17647059	48.67241379	48.55172414	47.875	48	51.53846154	55.33333333	39	35.24	37.86956522	45.73529412	48.64	45.82352941	49.47058824	53.84615385
