Month,Day,Year,Latitude,Longitude,Number
10,21,2001,20.4,-100.2,
10,20,2001,23.8,-100.7,
10,20,2001,30.2,-84.2,
10,19,2001,28.5,-100,
10,19,2001,30.7,-95.6,
10,19,2001,31.7,-89.1,
10,19,2001,22.5,-101,
10,18,2001,22,-100,
10,18,2001,21,-100,
10,17,2001,28.3,-99.6,
10,16,2001,30,-99.1,
10,15,2001,30.2,-97.7,
10,14,2001,29.6,-98.2,
10,14,2001,28.5,-100.5,
10,14,2001,29,-97.7,
10,14,2001,29.4,-99.1,
10,14,2001,32.9,-97,
10,14,2001,32.9,-97.3,
10,14,2001,29.9,-97.7,
10,14,2001,30,-94,
10,14,2001,21.3,-99.5,
10,14,2001,33,-96.7,
10,14,2001,43.2,-77.6,
10,14,2001,31.1,-97.3,
10,14,2001,28.8,-97,
10,14,2001,32.3,-96.8,
10,13,2001,26.6,-99.1,
10,13,2001,25.7,-100.3,
10,13,2001,25.4,-101,
10,13,2001,25.4,-99.8,
10,12,2001,28.5,-100.5,
10,12,2001,28.4,-100.3,
10,12,2001,28.4,-100.3,
10,12,2001,25.4,-101,
10,12,2001,29.9,-98,
10,11,2001,30.6,-96.4,
10,11,2001,30.5,-97.8,
10,11,2001,28.5,-100.5,
10,11,2001,27,-102.1,
10,10,2001,34.6,-83.6,
10,9,2001,26.8,-101.5,
10,8,2001,25.7,-101.4,
10,7,2001,30.7,-98,
10,7,2001,28.5,-100,
10,7,2001,29.6,-99.2,
10,6,2001,32.5,-99.7,
10,6,2001,29.9,-100.9,
10,6,2001,29.8,-95.4,
10,6,2001,41.3,-72.9,
10,6,2001,29.5,-98.5,
10,6,2001,29.9,-98.4,
10,5,2001,32.2,-98.2,
10,4,2001,31.7,-89.1,
10,4,2001,41.3,-74.5,
10,4,2001,30,-90.1,
10,3,2001,42,-70.9,
10,3,2001,33.1,-98.6,
10,2,2001,33.6,-81.7,
10,2,2001,29.2,-95.5,
10,2,2001,34.6,-83.6,
10,2,2001,36.2,-75.8,
10,2,2001,30,-90.3,
10,2,2001,32.4,-86.3,
10,2,2001,39,-77.3,
10,2,2001,33.8,-84,
10,2,2001,37.6,-79.1,
10,2,2001,37.2,-76.5,
10,1,2001,31.1,-97.5,
10,1,2001,30.4,-88.9,
10,1,2001,34.7,-82.8,
10,1,2001,32.8,-96.8,
10,1,2001,31.7,-89.2,
10,1,2001,30,-90,
10,1,2001,30.3,-102.1,
9,30,2001,32.8,-99.4,
9,30,2001,34,-83.4,
9,30,2001,29.8,-95.4,
9,30,2001,35,-120.5,
9,30,2001,35.4,-100.8,
9,29,2001,38.1,-75.2,
9,29,2001,36.8,-99.5,
9,29,2001,32.8,-96.8,
9,29,2001,36,-96,
9,29,2001,30,-90.1,
9,29,2001,36.3,-96.8,
9,29,2001,31.6,-100.5,
9,29,2001,30.5,-100.5,
9,29,2001,36.1,-96,
9,28,2001,36,-95.8,
9,28,2001,38.9,-75,
9,28,2001,35,-98,
9,28,2001,42.1,-72.1,
9,28,2001,32.8,-97.4,
9,28,2001,35.1,-82.3,
9,28,2001,35.6,-94.1,
9,28,2001,30,-90.1,
9,28,2001,34.9,-82.7,
9,28,2001,31.5,-100.4,
9,27,2001,32.8,-97.3,
9,27,2001,34.8,-82.4,
9,27,2001,36,-96,
9,27,2001,35.6,-94.1,
9,27,2001,33.1,-97.5,
9,26,2001,32.5,-99.7,
9,26,2001,32.8,-97.3,
9,26,2001,34.9,-82.3,
9,26,2001,36,-96,
9,26,2001,34.9,-92.4,
9,26,2001,36.5,-95.7,
9,26,2001,35.8,-93.8,
9,26,2001,36.1,-96,
9,26,2001,40.1,-109.5,
9,26,2001,44.4,-73.1,
9,25,2001,33,-96.9,
9,25,2001,30.9,-100.6,
9,25,2001,36,-94.1,
9,25,2001,35.6,-94.1,
9,25,2001,41.3,-74.5,
9,25,2001,37.2,-96.9,
9,25,2001,32,-99.9,
9,24,2001,34.2,-97.2,
9,24,2001,36.5,-95.5,
9,24,2001,38.9,-77.2,
